SAMPLE_ID,AGRN,ARHGEF10,ATP13A2,CFD,CHD3,CHIC1,ELANE,FNDC3B,GLB1,ITFG1,LPPR3,LTK,MAP3K1,MICALL2,MPO,OSBPL5,PPP1R26,SLC25A29,SLC29A2
aml_ohsu_2018_14-00730,1.8232,1.0091,-1.8218,1.19,-2.7272,-1.4049,1.1499,2.8146,1.4093,1.1918,0.9249,1.4224,1.4007,1.2277,1.173,1.6825,0.9801,1.7198,0.5049
aml_ohsu_2018_14-00667,0.3525,-0.1421,0.9243,0.285,0.3083,-1.2748,0.8195,-0.672,-0.1052,0.4077,0.1292,-0.6275,0.1,-0.6975,-0.1956,-0.9024,-3.4074,-0.5961,-0.0359
TCGA-AB-2836-03,-0.1862,-0.4742,0.1707,0.1392,0.0079,-0.1735,-0.4288,-0.3229,1.1363,-0.1469,-0.4508,-0.3722,0.8136,-0.0265,-0.6184,0.4857,0.2636,-0.681,-0.26
TCGA-AB-2942-03,-0.4725,-0.4797,-0.9535,-0.3702,-0.7638,-1.0259,-0.389,-0.6654,-0.5315,0.2585,-0.5695,-0.2315,-0.4247,-0.0369,-0.1095,-0.2689,-0.3063,0.209,-0.6478
aml_ohsu_2018_14-00228,-0.1278,-1.9667,-0.0017,0.7214,-0.4237,0.5252,0.2508,0.4707,0.4136,0.8894,0.7734,0.1329,-0.2043,0.8662,-0.8375,0.7981,0.6897,1.2979,-0.3346
aml_ohsu_2018_14-00725,0.0192,-1.9667,-0.3544,0.762,-0.5909,-0.4116,0.7742,0.455,-0.8827,0.2755,0.4487,0.6,-1.6369,0.9958,0.088,0.7256,0.1819,-0.3733,-1.3097
TCGA-AB-2956-03,-0.4122,2.761,0.6574,0.1968,1.1559,0.0864,-0.3714,-0.6094,0.1293,0.0295,-0.2388,-0.5066,-0.7948,-0.6124,-0.651,-0.239,0.3062,-0.9057,-0.416
aml_ohsu_2018_14-00473,-1.2887,1.094,0.7495,-0.7672,-1.2786,0.176,0.5749,-2.6036,-1.8615,-0.0609,-0.2895,-1.2359,-0.6497,0.2711,-0.4664,-0.1891,0.6888,1.2013,1.5577
TCGA-AB-2820-03,-0.4015,0.4609,2.9914,-0.7504,-1.0703,0.6688,-0.4566,-0.6792,-1.9632,-2.2514,-0.8768,-0.5017,-0.9713,-1.1581,-0.6466,0.3799,-1.2383,-0.0982,1.6363
TCGA-AB-2861-03,-0.153,-0.3469,0.2248,-0.3214,1.8967,-1.3318,-0.3283,-0.3665,-0.414,-0.4274,0.6565,-0.3915,-0.6267,-0.4604,-0.6447,0.4992,0.3483,-1.1366,0.8941
TCGA-AB-3011-03,-0.4444,-0.2899,-0.3375,0.5718,0.8472,0.9414,-0.3642,-0.204,-1.1683,-0.7114,1.3954,-0.5446,1.2113,-0.218,0.1183,0.925,1.1782,0.737,-0.4146
TCGA-AB-2805-03,-0.472,-0.4059,-0.9689,-0.6934,0.4575,-0.704,-0.4561,-0.5815,0.6822,0.7344,-0.9079,-0.5454,1.6362,-1.113,-0.6445,-0.9906,-1.2606,-1.0792,-0.4028
TCGA-AB-3001-03,2.2723,-0.2638,-0.543,1.4517,-0.9504,0.2353,0.6659,4.4119,1.0431,1.1112,1.869,3.7318,1.3861,0.6891,2.2741,2.2888,1.7258,1.6849,-0.3868
TCGA-AB-2952-03,-0.2018,-0.3464,7.0079,-0.4667,0.5993,-0.6767,-0.3792,-0.869,0.1509,-2.032,-0.5713,-0.4838,-0.8252,-0.9774,-0.3515,0.153,-0.9609,0.3747,1.608
aml_ohsu_2018_16-00510,-2.5406,-0.1613,1.0556,-1.537,1.3207,0.6969,0.3776,-1.1603,-0.1498,-0.8298,-0.8286,-1.4126,-1.2634,-0.7535,0.0157,-0.801,0.4183,-0.738,1.1724
TCGA-AB-2822-03,0.0027,0.4601,-1.1711,-0.7396,-0.8499,1.7688,-0.4565,-0.7703,-1.6737,-0.491,-0.8927,-0.0771,-0.7929,-1.0,-0.6482,-0.4678,0.9429,-0.0149,-0.3774
aml_ohsu_2018_14-00690,0.2453,-1.9667,-0.3257,1.1025,-1.2563,-0.53,0.6266,0.8312,0.8156,0.9893,0.6376,0.0327,-0.6756,1.0168,0.407,0.8161,0.6314,0.0131,-0.6581
aml_ohsu_2018_15-00269,0.7948,-1.9667,-0.9004,0.861,-0.087,-0.0924,0.2658,0.3052,-0.2776,-0.1685,0.8725,0.9215,1.3345,0.0758,0.6599,0.6513,0.9867,0.2734,-1.4794
TCGA-AB-2944-03,-0.4025,-0.4329,0.4849,-0.6969,1.5672,1.3182,-0.44,-0.8474,-1.3034,-2.1356,-0.8745,-0.5456,-1.4134,-1.1796,-0.6309,-0.9116,-1.0449,-0.9178,0.0056
aml_ohsu_2018_14-00658,0.3363,-1.6878,1.0744,0.9085,-0.0908,0.4182,0.6095,1.1437,0.0645,0.1443,0.949,0.1011,0.3167,0.4458,0.7551,0.7117,0.6773,1.4336,0.71
TCGA-AB-2980-03,1.6344,-0.0154,-1.012,-0.2918,-1.5651,-1.0229,-0.0337,0.6516,0.1184,1.143,0.3068,0.5773,1.2707,-0.4957,0.9211,-0.1885,-0.2569,-0.1315,-0.3422
TCGA-AB-2959-03,-0.5564,0.2042,-0.8986,-0.7736,0.8269,0.645,-0.4549,-0.3366,-1.6234,0.8021,-0.9032,-0.5351,0.1732,-1.2022,-0.6427,-1.1208,-1.3726,-0.8593,-0.2863
TCGA-AB-2985-03,-0.5826,-0.41,1.2265,-0.289,0.3479,-0.9618,-0.3462,-0.4836,1.2128,0.4591,-0.6195,0.2062,-0.5998,-0.6169,-0.6303,-0.9068,-0.6461,-0.8988,-0.5086
aml_ohsu_2018_14-00034,-0.3318,-1.9667,0.2484,-1.2372,-0.6636,-0.1824,-0.3227,0.0348,-0.0144,-0.0713,-0.5135,0.2542,-0.9179,1.0478,0.8334,1.5066,-0.2992,0.6217,-1.315
aml_ohsu_2018_15-00858,0.2446,-1.9667,-0.2893,1.1025,1.2715,-0.961,0.5546,-0.1095,-0.0779,-0.1523,1.1616,0.2058,0.9704,-0.6287,0.535,1.272,1.1417,1.6323,0.5604
aml_ohsu_2018_14-00599,0.1093,-0.543,0.1793,0.1174,1.0223,-0.0235,0.5749,-1.0832,-0.4247,-0.2158,0.1711,-1.2158,0.0163,-0.2047,0.0837,-0.7019,-2.291,-0.8962,-0.6179
aml_ohsu_2018_14-00578,0.9014,-1.9667,0.8468,0.5045,0.9149,0.3817,-0.0506,-0.1353,0.8821,1.1312,0.8061,-0.2401,0.2181,-0.6233,0.0367,1.0182,0.2471,0.8919,-1.9501
TCGA-AB-2845-03,-0.3398,-0.4218,-0.3268,-0.5683,0.2804,-1.3574,-0.2434,-0.5249,-0.2551,-0.3725,-0.7165,0.3206,-0.9154,-0.3496,0.335,0.6933,0.089,0.1138,-0.6129
aml_ohsu_2018_16-00003,1.0999,-1.4782,0.3213,1.0034,-0.0117,-0.6882,0.7112,1.3851,0.8653,1.0771,0.8979,0.5036,1.203,0.9219,0.724,2.017,0.9814,1.3068,-0.2726
TCGA-AB-2911-03,-0.4024,-0.5171,-0.0149,-0.2423,0.7319,0.002,-0.4311,-0.322,1.258,0.5297,-0.5183,-0.4756,0.0525,-0.634,-0.5799,0.8102,0.5463,-0.0786,-0.1119
TCGA-AB-2847-03,0.6197,0.7417,0.4558,-0.5219,2.2973,0.4706,-0.4346,-0.6388,-0.5795,-0.1004,-0.2626,-0.5012,-0.5916,-0.3496,-0.2583,-0.908,0.8758,-0.2625,1.3289
TCGA-AB-2834-03,-0.6026,-0.236,-0.6024,-0.4876,-0.1899,-0.2788,-0.0328,-0.2994,-0.4491,-0.3042,-0.1569,-0.4278,-0.4944,-1.0755,-0.4454,-0.6389,-1.3367,-0.9614,-0.6596
aml_ohsu_2018_14-00798,-0.1295,-1.9667,-0.162,0.9085,-1.3696,-1.9589,0.6719,0.0237,1.5216,0.9624,-0.0153,0.5968,1.3733,0.4131,0.5575,-0.1058,-0.0219,-0.4255,-1.7982
aml_ohsu_2018_14-00423,0.2158,-1.9667,-1.308,0.4135,-1.2042,-4.5041,-0.0452,-0.0541,0.2853,0.9368,-0.0124,0.2588,0.8021,0.3265,0.724,-0.5851,-0.7548,0.9997,-2.0087
TCGA-AB-2812-03,-0.3277,-0.3489,-0.6608,-0.1742,-1.6074,1.5838,-0.2746,1.5165,-0.5207,0.8162,0.0952,-0.2861,0.2674,-0.5009,-0.3817,-0.338,-0.6165,-0.5918,0.0962
aml_ohsu_2018_15-00024,-0.228,-1.9667,-0.1488,0.5721,0.0481,0.079,0.2084,0.6639,0.36,0.8016,0.7337,-0.2844,0.3513,0.1985,0.724,0.618,0.4102,0.4754,-0.3445
TCGA-AB-2967-03,-0.0831,-0.3615,-0.3094,-0.168,-1.4523,0.1806,-0.4493,0.0835,0.015,0.8964,-0.016,-0.2091,-0.3038,0.401,-0.6113,-0.0911,0.2469,-0.8694,-0.5963
aml_ohsu_2018_13-00157,0.9229,-1.9667,0.4378,0.9156,-1.8901,0.0457,0.4701,0.168,1.2212,0.5781,0.6369,0.1386,0.4686,0.8216,0.0505,0.9437,0.906,-0.0027,-1.0685
TCGA-AB-2817-03,0.4008,0.181,1.554,-0.6688,1.8068,0.4892,-0.3037,-0.8022,-0.6421,-1.3164,-0.6751,-0.53,-0.591,-0.799,-0.2732,-0.8024,-1.2939,-0.6585,0.7244
TCGA-AB-2823-03,4.1145,-0.1688,-0.3476,1.671,-1.4647,-1.4104,0.8179,2.6727,1.934,2.3865,1.1779,1.7853,2.7058,0.3518,1.6589,0.7782,1.7328,0.237,0.337
TCGA-AB-2937-03,0.7019,-0.3327,-0.6239,-0.2096,-0.5549,-1.3623,-0.3498,-0.1835,1.6599,-1.7862,-0.0019,-0.0537,-0.8239,0.4386,0.9114,-0.3861,0.9836,0.4241,0.2896
aml_ohsu_2018_14-00774,-1.2514,-0.2137,0.4652,-2.0183,1.3514,0.577,-0.6012,-1.7678,-2.7015,-1.7079,-2.7618,-2.5492,-1.2917,-1.671,-0.8996,-1.6036,-3.4074,0.0541,1.5397
aml_ohsu_2018_14-00901,-0.3044,0.9211,0.1782,-2.8199,0.1759,0.5686,-3.1611,-4.427,-2.0307,-0.6762,-4.4497,-1.1022,-0.5577,-2.7013,-3.3568,-0.8628,-3.4074,0.4722,0.9794
TCGA-AB-2811-03,-0.1357,-0.5259,0.8213,2.3615,-0.9387,-0.9151,-0.1481,-0.8207,-0.936,-2.7,0.7864,-0.0173,-0.7517,2.1348,-0.5176,0.6446,-0.4775,1.9202,0.4852
TCGA-AB-2889-03,-0.2899,-0.3847,-1.0449,0.6343,-0.6508,-0.9086,-0.0973,-0.4571,0.3537,0.1032,0.0426,-0.4083,-0.4134,0.6566,0.5896,-0.2934,-0.1419,0.423,-0.6624
TCGA-AB-2887-03,-0.1105,1.8034,1.5512,-0.7427,1.7167,0.7435,-0.4281,-0.786,-1.0286,-0.9428,-0.7941,-0.5137,-0.7628,-0.3717,-0.2546,-0.5961,-1.2359,0.4763,2.2318
TCGA-AB-2824-03,0.2382,-0.3753,0.9588,-0.0844,-0.6809,-0.5359,-0.383,-0.1463,-0.3887,-0.9151,0.1094,-0.2914,-1.0593,0.204,-0.5411,-0.1828,0.2759,-0.8469,-0.1076
aml_ohsu_2018_16-00273,-0.7155,-1.9667,-0.9686,0.2825,0.0171,0.7616,-1.5973,0.0237,-0.2982,-0.4286,-0.1177,0.4871,0.3872,0.5662,0.0773,0.4218,0.4508,1.237,0.3884
TCGA-AB-2869-03,0.4416,-0.4821,-0.195,-0.1103,-0.9672,0.4938,-0.2315,-0.0651,-0.4825,0.1684,0.4262,-0.459,0.2603,-0.5328,-0.4429,0.163,0.8711,0.2723,0.5731
TCGA-AB-2825-03,-0.3184,-0.4883,0.5973,-0.191,0.1131,-0.386,-0.4443,-0.3111,1.509,0.8083,-0.6253,-0.4117,0.579,-0.2615,-0.6265,-0.541,0.7659,-0.7883,-0.4879
TCGA-AB-2983-03,-0.5464,0.3163,0.4459,-0.3438,1.7285,1.2339,-0.4237,-0.6202,-1.069,-0.1911,-0.4981,-0.4244,0.123,-0.2724,-0.6463,-0.5821,-1.1286,-0.3666,-0.5293
aml_ohsu_2018_15-00237,-0.4111,-1.9667,1.031,0.7214,-0.1594,-0.0169,0.5719,-0.0777,0.3771,-1.0575,0.9108,0.1471,0.2477,0.8919,-0.2727,0.7539,1.0418,0.8989,0.997
aml_ohsu_2018_14-00355,0.1377,-1.9667,0.3998,0.6745,0.7226,0.6514,0.1512,0.2318,0.3049,0.405,0.4325,0.3513,1.541,0.1604,-1.6504,0.1697,0.2599,-0.6834,-1.8766
aml_ohsu_2018_13-00659,0.8951,-1.8123,-0.1771,0.6355,0.4244,-4.5041,0.757,0.4165,1.7162,1.0771,0.8631,0.917,0.4657,-0.0233,0.7098,1.0142,0.0616,-0.8514,-1.0597
TCGA-AB-2854-03,-0.3759,0.634,-0.9081,-0.429,0.7414,0.228,-0.2791,-0.332,-0.571,-1.563,-0.3331,-0.535,-1.5108,-0.5792,-0.4191,-0.4899,-1.0127,-0.6413,-0.1349
aml_ohsu_2018_15-00338,1.7804,1.1338,1.8314,1.7175,-0.654,-4.5041,0.7742,0.9583,0.3002,0.2359,0.4915,1.2028,0.3494,1.1606,1.0696,0.539,0.354,-0.5222,-0.9151
